Hypotheses # and name,Hypotheses,BMC Block,Value Map,Customer Profile,CS.#,Date of Hypotheses,Which interviews supported the hypotheses?,# of Yes,Which interviews rejected the hypotheses?,# of No,# of Total Interviews,Accept or Reject Hypotheses,Early Adopter,Field 15,Field 16,Which interviews rejected the hypotheses? copy
CS.1 - Manufacturers Need Certified Local Suppliers ,"Manufacturers (aerospace, medical devices, automotive) struggle to find certified local 3D printing facilities within their region, resulting in weeks of sourcing time and high shipping costs.",Customer Segment,,Customer Job,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 13 - Lee Vessey (Thales), Interview 16 - Harvey Doane (Space)",4,,0,4,Supported,Procurement Managers at mid-size manufacturers (100-1000 employees) who order 3D printed parts monthly and are frustrated with current 3-week sourcing cycles. ,,,
CS.2 - Facilities Have Idle Capacity,3D printing service bureaus and contract manufacturers have 30-40% idle machine capacity and struggle with expensive customer acquisition ($5-10K per client),Customer Segment,,Customer Job,CS.2,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Owners/operators of small-medium 3D printing facilities (5-20 machines) who are actively seeking new clients and willing to pay commission for qualified leads.,,,
CS.3 - Labs & Authorities Need Digital Compliance System,"Certification labs and regulatory authorities spend 60%+ of their time on manual administrative tasks (paper-based requests, manual tracking) and lack centralized visibility into certifications across the industry.",Customer Segment,,Customer Job,CS.3,2026-1-19,"37,38, Interview 5 - Sean Morgan (Atlantic XL), Interview 9 - Mark Kirby (UWaterloo MSAM)",4,,0,4,Supported,Quality managers at mid-size testing labs and forward-thinking compliance officers at regulatory bodies who are frustrated with manual processes and want better oversight tools.,,,
CS.4 - OEMs Want Distributed Manufacturing,"OEMs want to enable distributed 3D printing manufacturing to scale production but are blocked by concerns about quality control, IP protection, and lack of standardized processes.",Customer Segment,,Customer Job,CS.4,2026-1-19,"Interview 5 - Sean Morgan (Atlantic XL), Interview 14 - Nicole Rathie (NGen), Interview 23 - Jim Granger (IP barrier)",3,37.0,1,4,Partially Supported,Engineering managers at industrial equipment OEMs who have explored distributed manufacturing but haven't implemented due to quality/IP concerns.,,,37.0
CJ.1 - Source Certified Parts Quickly,Manufacturers have a functional job-to-be-done: source certified 3D printed parts for production/prototyping within 1-2 weeks maximum. Current process takes 3-4 weeks.,Customer Segment,,Customer Job,CS.1,2026-1-19,"37, Interview 13 - Lee Vessey (Thales), Interview 18 - Chris (OMV)",3,,0,3,Supported,Procurement managers with monthly part orders,,,
CJ.2 - Fill Machine Capacity,"3D printing facilities have a functional job: fill idle machine capacity (currently 30-40% idle) with qualified, paying clients to maximize revenue per machine",Customer Segment,,Customer Job,CS.2,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL)",2,,0,2,Supported,Facility operators with <70% utilization,,,
CJ.3 - Process Certifications Efficiently,Certification labs and regulatory authorities have a functional job: process certification requests and track compliance efficiently while minimizing administrative burden and maintaining oversight.,Customer Segment,,Customer Job,CS.3,2026-1-19,"37,38, Interview 5 - Sean Morgan (Atlantic XL)",3,,0,3,Supported,Quality managers handling 50+ requests/month and compliance officers tracking 100+ facilities,,,
CJ.4 - Enable Distributed Manufacturing,OEMs have a functional job: enable local/regional manufacturing of their parts through certified 3D printing facilities while maintaining quality control and IP protection.,Customer Segment,,Customer Job,CS.4,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 14 - Nicole Rathie (NGen)",3,,0,3,Supported,Engineering managers at OEMs with distributed customer base,,,
CP.1 - Weeks Wasted Finding Facilities,"Manufacturers waste 3+ weeks and $75K+ annually in employee time searching for and vetting certified 3D printing facilities through manual Google searches, cold calls, and reference checks.",Customer Segment,,Customer Pains,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Procurement teams without established supplier networks,,,
CP.2 - Expensive Distant Suppliers,Manufacturers pay 40-60% more in shipping costs and experience 2-3 week longer lead times when using distant 3D printing suppliers instead of local options.,Customer Segment,,Customer Pains,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 17 - Jean-Michel Fortin (Agnico Eagle)",3,,0,3,Supported,Manufacturers ordering heavy/large 3D printed parts,,,
CP.3 - Certification Proof Difficulty,"Manufacturers struggle to verify and prove that 3D printed parts meet regulatory requirements (ISO, FDA, FAA), creating audit risk and production delays.",Customer Segment,,Customer Pains,CS.1,2026-1-19,"37, Interview 5 - Sean Morgan (Atlantic XL), Interview 9 - Mark Kirby, Interview 15/18 - OMV Austria, Interview 11 - Dr. Ali Nasiri",6,,0,6,Strongly Supported,Manufacturers in highly regulated industries (aerospace/medical/O&G),,,
